Catalog Number,Alternative Number,Source,Species,longitude,latitude,RB,IOC,ZB,MB,GSL,NL,RL,OL,RD,CDM1,BaL,PLa,CIL,MTRL,MaxB,D,IFL,IFW,BuL,OccW,LMD,MD
MJ549,,LMUSP,P. simonsi,-64.86,-9.45673,8.14,11.19,23.2,18.61,52.68,19,20.34,13.69,9.67,13.2,36.95,16.8,43.05,7.92,8.54,10.59,4.43,2.85,10.27,8.53,6.09,27.27
MJ636,,LMUSP,P. simonsi,-64.85177,-9.4416,7.48,11.34,21.15,17.18,47.52,17.26,18.74,12.09,8.24,11.73,32.59,15.22,38.3,7.46,7.28,9.39,4.32,2.19,9.42,8.28,5.79,24.08
MJ774,,LMUSP,P. simonsi,-64.83314,-9.43693,7.35,10.82,23.53,19.43,49.23,19.72,20.05,12.47,9.45,13.09,34.53,17.59,40.18,7.58,7.6,10.1,5.16,3.11,10.26,8.38,6.1,25.11
MPEG28397,,MPEG,P. simonsi,-68.76672,-6.46666,9.15,11.74,24.66,19.22,53.47,20.53,21.67,13.31,10.22,13.91,36.33,16.73,42.75,8.33,9.33,11.02,4.58,2.48,9.45,9.01,6.73,28.21
MPEG28398,MVZ194703,MPEG,P. simonsi,-68.89219,-6.58282,8.78,11.53,23.86,18.98,50.69,17.59,19.46,13.44,9.77,13.49,34.44,14.79,41.2,7.84,8.34,9.96,4.25,2.89,9.61,8.76,5.75,25.53
MPEG28400,,MPEG,P. simonsi,-72.81662,-8.36666,8.71,11.39,25.73,21.36,58.03,22.88,23.84,14.99,11.2,14.74,39.6,18.67,46.45,7.49,8.49,12.32,4.92,2.73,10.36,9.23,7.39,28.5
MPEG28408,,MPEG,P. simonsi,-72.81662,-8.36666,8.67,11.84,25.42,20.12,52,19.13,20.08,13.84,9.93,13.43,36.42,15.92,42.26,8,9.02,10.38,3.75,2.22,10.21,9.39,6.42,27.59
MPEG28409,MVZ194602,MPEG,P. simonsi,-72.81662,-8.36666,8.84,10.82,25.3,20.13,56.19,21.54,22.23,14.94,10.8,14.08,38.46,16.57,45.06,8.01,9.1,11.19,5,2.32,10.34,9.74,6.43,27.73
MPEG28414,,MPEG,P. simonsi,-66.01666,-3.31666,9.83,12.21,26.43,20.26,59,23.08,24.08,15.11,11.29,15.11,40.64,19.42,47.23,7.93,9.48,12.62,3.53,2.57,10.4,10.01,6.99,29.25
MPEG28416,,MPEG,P. simonsi,-66.01666,-3.31666,8.82,11.73,24.99,19.32,57.21,22.79,23.26,14.81,11.37,14.93,39.02,17.82,45.47,7.8,9.03,11.63,4.62,3.08,10.54,9.14,7.14,28.75
MPEG28417,MVZ194711,MPEG,P. simonsi,-66.01666,-3.31666,10.09,12.61,26.27,20.83,58.75,22.5,23.83,15.51,11.83,15.47,41.62,19.41,48.32,8.25,9.9,12.78,5.46,3.16,10.11,9.6,7.57,30.84
MPEG28419,,MPEG,P. simonsi,-66.01666,-3.31666,9.21,12.35,27.36,21.73,61.25,23.87,24.79,15.67,11.97,15.67,42.86,20.4,49.59,8.56,10.19,12.87,4.21,2.93,10.63,9.5,7.69,32.27
MPEG28424,,MPEG,P. simonsi,-70.85003,-6.75,9.52,11.85,26.18,20.38,55.73,20.56,23.21,13.62,10.38,14.09,39.33,17.66,45.71,8.15,10.05,11.43,4.6,2.22,9.88,9.48,6.62,28.3
MPEG28427,MVZ194775,MPEG,P. simonsi,-68.76672,-6.46666,8.98,11.09,23.8,18.96,51.52,18.86,19.97,13.87,10.22,13.43,35.31,15.81,40.9,7.81,8.4,10.31,4.62,2.62,9.04,9.73,6.29,26.36
MPEG28429,,MPEG,P. simonsi,-68.89219,-6.58282,7.32,10.26,22.79,19.51,49.08,18.58,19.35,13.01,9.38,12.36,34.77,16.11,40.07,7.42,8.08,10.46,4.45,2.63,9.21,9.09,5.65,24.73
MPEG28430,,MPEG,P. simonsi,-68.89219,-6.58282,8.92,11.09,25.65,21.01,56.67,21.88,22.84,14.46,11.1,15.12,40.14,18.33,46.08,7.8,10.02,11.81,5.56,3.02,10.7,9.59,6.47,29.54
MPEG28432,,MPEG,P. simonsi,-68.89219,-6.58282,8.16,11.56,24.21,19.26,51.74,19.38,19.68,13.99,10.19,13.31,36.64,15.93,41.81,7.68,8.73,10.55,3.32,2.26,9.47,9.21,6.67,27.04
MPEG28433,,MPEG,P. simonsi,-72.78304,-8.66663,8.17,10.95,24.45,18.54,52.52,20.78,21.24,13.53,9.78,13.53,35.52,15.74,42.21,7.89,8.64,10.16,4.17,2.47,10.11,8.95,6,25.75
MPEG28437,,MPEG,P. simonsi,-72.78304,-8.66663,9.38,11.15,24.36,19.59,55.81,21.44,22.66,13.8,11.14,14.35,38.82,18.18,45.67,7.92,9.33,11.93,5.02,2.95,10.29,9.79,7.18,27.85
MPEG28438,,MPEG,P. simonsi,-72.78304,-8.66663,9.26,11.09,24.99,20.59,55.16,21.87,22.56,14.01,10.68,13.94,37.61,16.24,43.99,7.59,8.49,11.27,5.04,2.79,10.11,9.7,6.54,28.03
MPEG28443,,MPEG,P. simonsi,-72.78304,-8.66663,8.73,10.8,24.86,19.06,54.83,20.08,21.62,14.2,10.29,13.62,37.5,17.54,43.74,7.59,8.99,11.53,4.42,2.69,10.27,9.52,6.52,27.74
MPEG28444,,MPEG,P. simonsi,-72.78304,-8.66663,8.32,10.68,23.81,18.71,53.9,19.79,21.62,13.22,9.98,13.56,36.41,16.07,42.63,7.9,9.12,10.67,4.23,2.62,10.15,9.47,6.26,27.26
MPEG28447,MVZ194635,MPEG,P. simonsi,-72.78304,-8.66663,8.86,10.86,25.55,19.44,53.16,20.46,20.45,13.89,10.21,14.02,36.57,17.48,42.89,8.29,9.23,10.76,4.72,2.34,9.56,9.16,6.22,26.55
MPEG28448,,MPEG,P. simonsi,-72.78304,-8.66663,8.4,11.29,24.99,19.28,51.08,18.85,19.61,13.37,10.37,13.98,35.02,16.04,41.28,7.8,9.15,10.35,3.95,2.18,9.63,9.34,5.56,25.94
MPEG28449,,MPEG,P. simonsi,-72.78304,-8.66663,8.57,11.14,25.04,20.08,55.1,21.23,21.87,14.27,10.11,13.8,38.22,17.27,43.79,8.18,8.61,11.03,4.96,2.72,10.14,9.79,6.15,27.25
MPEG28451,,MPEG,P. simonsi,-72.78304,-8.66663,9.06,10.72,25.64,20.12,56.12,21.8,22.42,14.58,11.23,14.44,39.26,17.55,45.51,8.01,8.88,11.42,4.47,3.06,10.58,9.33,6.79,28.22
MPEG28452,,MPEG,P. simonsi,-72.78304,-8.66663,9.1,11.33,24.85,19.53,54.86,20.59,21.76,14.41,10.41,13.29,37.66,16.37,44.06,7.82,8.59,10.91,4.19,2.33,9.81,9.44,6.67,28.22
MPEG28453,,MPEG,P. simonsi,-72.78304,-8.66663,8.54,11.07,23.03,18.29,50.97,18.98,19.74,13.74,9.52,13.31,35.65,16.3,41.27,7.88,7.96,10.43,4.8,2.58,9.35,8.64,5.75,25.77
MPEG28455,,MPEG,P. simonsi,-72.78304,-8.66663,9.76,11.41,25.45,20.47,55.62,22.57,23.01,13.67,11.15,14.87,37.92,17.56,44.53,8.21,9.95,11.25,4.82,2.75,10.2,9.44,6.64,29.61
MPEG28456,,MPEG,P. simonsi,-72.78304,-8.66663,8.9,11.22,26.61,21.02,58.91,23.88,24.06,14.65,11.58,15.13,40.48,19.11,47.27,7.94,9.97,12.68,5.04,3.02,10.58,9.79,7.33,29.02
MPEG28459,,MPEG,P. simonsi,-72.81662,-8.36666,8.45,9.71,24.21,18.71,51.33,19.44,19.79,13.37,9.85,13.43,35.4,16.47,41.88,7.99,8.28,10.51,4.75,2.78,9.97,9.09,5.95,27.08
MUSM11283,,AMNH,P. simonsi,-73.16208,-5.2495,8.53,11.35,25.6,20.26,53.24,21.08,21.74,13.63,10.58,14.35,36.48,16.79,42.68,7.7,9.53,10.72,4.1,2.31,9.71,9.1,6.7,27.14
MUSM11299,,AMNH,P. simonsi,-73.16208,-5.2495,9.31,10.95,26.35,20.23,54.29,20.92,21.44,14.66,10.93,14.11,38.65,17.88,44.01,8.36,10.55,11.5,4.63,2.63,9.18,9.31,6.68,27.91
MUSM11314,,AMNH,P. simonsi,-73.16208,-5.2495,8.13,11.35,25.52,19.88,54.41,20.18,21.44,14.27,10.4,14,37.42,17.13,43.7,8.57,9.3,10.9,4.56,2.78,9.06,9.79,6.83,28.23
MUSM13342,,AMNH,P. simonsi,-73.16208,-5.2495,8.12,11.18,25.11,18.43,52.77,19.95,20.87,13.95,10.47,14.17,36.5,16.15,42.98,7.69,9.19,10.82,4.66,2.33,10.16,9.56,6.24,26.78
MUSM13343,,AMNH,P. simonsi,-73.16208,-5.2495,8.08,11.04,24.6,18.25,51.68,20.19,20.67,13.54,9.67,13.39,35.68,16.69,41.95,8.56,8.74,10.17,4.19,2.81,9.85,9.52,6.11,27.29
MUSM13344,,AMNH,P. simonsi,-73.16208,-5.2495,8.69,11.59,25.22,20.81,57.27,23.16,23.89,13.86,11.63,14.81,39.58,17.55,46.27,8.52,9.62,11.76,4.89,2.82,10.54,10.15,6.83,28.93
MVZ166814,,MVZ,P. simonsi,-71.26166,-12.68001,8.3,10.36,24.08,18.29,50.88,20.04,19.92,12.92,9.73,13.28,35.52,16.47,41.56,7.66,8.52,10.62,3.93,2.4,9.48,9.19,6.43,26.93
MVZ168955,,MVZ,P. simonsi,-69.07289,-12.6,9,11.56,27.23,21.58,56.44,22.42,22.4,14.66,11.22,15.41,39.33,18.2,46.03,8.34,9.49,11.23,4.8,2.97,11.09,9.67,6.47,28.65
USNM364151,,NMNH,P. simonsi,-69.23741,-12.59659,7.82,11.16,23.63,19.41,51.39,19.09,19.92,12.95,9.86,13.26,35.78,16.01,41.58,7.42,8.38,10.21,4.26,2.87,10.3,9.34,6.09,26.26
USNM390367,,NMNH,P. simonsi,-69.18341,-12.58804,8.14,10.32,23.63,19.28,51.06,17.71,18.64,13.61,9.53,12.83,37.44,16.8,43.05,8.03,8.32,10.55,4.74,2.79,10.09,9.55,6.35,27.21
USNM530935,,NMNH,P. simonsi,-69.20697,-12.72047,8.24,10.7,24.23,20.72,52.03,19.62,20.29,12.81,10.06,13.1,35.37,16.48,41.32,7.21,8.44,11.11,4.76,2.6,10.13,9.49,6.35,26.39
USNM578000,,NMNH,P. simonsi,-72.94991,-11.58344,8.44,10.47,25.37,19.64,54.57,20.11,21.05,13.81,10.67,13.76,37.35,17.3,44.37,8.22,9.26,11.23,4.73,2.64,10.04,9.11,6.78,27.53
USNM579259,,NMNH,P. simonsi,-68.77,-13.58,8.51,11.22,24.47,19.22,52.83,18.81,20.98,13.36,10.06,13.87,36.48,16.71,42.38,8.27,9.33,10.9,4.76,2.43,10,9,6.17,26.38
USNM579616,,NMNH,P. simonsi,-66.7333,-10.7667,9.17,11.39,24.87,19.92,53.66,21.12,21.91,13.93,10.91,14.35,36.92,17.42,43.85,8.39,9.19,11.11,5.47,3.26,10.67,8.96,6.6,28.29
USNM579694,,NMNH,P. simonsi,-69.6122,-13.1472,7.99,10.97,24.02,18.89,51.11,18.03,19.95,12.85,9.95,12.95,34.83,16.22,40.84,7.5,8.5,10.62,4.66,2.26,9.64,9.4,6.02,25.56
USNM579695,,NMNH,P. simonsi,-69.6122,-13.1472,8.32,11.73,24.75,19.75,53.5,19.61,20.52,13.95,10.2,13.63,36.15,16.14,42.86,8.02,8.55,11.27,4.94,2.77,10.38,9.28,6.75,26.81
USNM579697,,NMNH,P. simonsi,-69.6844,-13.5044,7.9,10.16,23.45,17.56,47.74,17.23,17.99,12.89,8.84,12.15,33.25,14.78,39.25,7.58,8.39,9.72,3.99,2.24,9.37,8.5,5.54,23.92
