Individual	Species	RB	ZB	MB	GSL	RD	CDM1	BaL	D	BuL	OccW
AMNH263054	PRO	1.23706492933756	-0.448670202649736	-0.11859832156705	-0.449986107433581	-1.34714341651156	-1.69725658818992	0.261476265155634	0.430669602330015	1.50284932107823	-2.81866440519113
AMNH263056	PRO	-1.75222030669179	-1.42371715398204	1.35500635999275	0.082770850447369	-0.843687717585945	0.650549416302025	-0.285287441729007	-3.71595746223303	1.31744572778672	-0.785169623818411
AMNH263057	PRO	1.04467193475542	-0.528108286828868	0.68884340551127	-0.173128023131413	-0.325971157080433	0.994444399759923	-0.253663036315112	-1.20166994671346	1.08581048361354	2.28880780705973
AMNH263060	PRO	-0.769894282665873	-0.274810387495689	1.42233056069739	0.603642900656407	-1.46405542767977	-1.22098840050163	-0.28537653265759	-2.38636457728108	-0.122419426922577	-3.70258707092716
AMNH263062	PRO	0.379004612485681	-0.579105557810985	3.01326178658506	0.287098151690358	1.62228078299459	-0.395442314833802	0.412732269309947	-0.441556851619943	-0.646432855669696	-1.875117789377
AMNH263108	PRO	-1.37863311870819	0.274577711730754	-1.20701298473827	-0.678640164722177	0.594416124812514	0.781209173317508	-0.990570566741521	-1.17345205569762	-1.15759949407163	-3.97143255534818
AMNH263109	PRO	-0.667614369818845	-0.300271914480195	1.81526845344723	-0.746180742635	-1.15165468617744	-1.75894452008957	0.738851968823026	-0.820044377787668	-0.112234839951093	-0.485343262772884
AMNH263112	PRO	-3.12188963836148	-1.52783808195269	0.514911604689953	-0.294910082018123	-1.07207605230921	-1.59692028753887	-0.100469578316356	-0.578202566816911	-2.20627896563885	-3.09088966966691
AMNH263113	PRO	-1.36466030403169	-1.46179312944871	0.838773184454675	-0.407346015915531	-0.564543308929842	0.16926776377746	-0.611296530008085	-2.7009279924373	2.19880399224746	0.972888088092674
AMNH263122	PRO	-0.0276480315362202	1.37130255543146	2.71011215648233	-0.93755509809222	1.06199422444343	-0.438837547244517	-0.810009255342204	-2.34949211612931	0.837754803332547	-2.22932159155509
AMNH264881	PRO	1.15860601455927	0.624885003299315	1.79581454006111	-1.40912065728935	-1.10633534535703	-0.393269839527596	-0.629038148769344	-1.60101922024155	1.70590966870901	-2.83726855796868
AMNH266594	PRO	-3.85157839208769	0.347858105583705	-3.19796135069854	0.284825598508403	-0.757305608533891	0.685558998902395	-0.360549246723364	0.908611865635471	-4.07661907855291	-2.64779314476847
AMNH266595	PRO	0.711585552335936	2.80773745167463	-0.853350283966872	1.25562361203633	3.5436092070587	1.82030983317528	-0.480092555361617	-0.408711252572704	-1.64164866811882	2.23472160487355
AMNH267025	PRO	-4.29898543132852	1.32711256072967	-4.12198954092148	0.313587227947551	-0.164318541265792	0.292949764425532	-0.614976803704809	-0.702124998675175	-3.59963769997568	-1.45416054024597
AMNH267027	PRO	1.32573812026255	0.971827968859516	-1.24691153387449	-1.09201154930855	-0.260583393225253	0.0424725740668174	-1.59759666469738	-0.604473436685257	-2.46709046385785	5.33961512534197
AMNH267028	PRO	2.62561858407438	1.40449797258797	-1.69977051074215	-1.30090678125243	0.0799025959810969	0.134220225798577	-1.57947020155373	1.60079791154991	-3.63485406063466	1.81729686863917
AMNH267029	PRO	-0.402173559865345	0.644564119100924	-0.645972519120781	-0.292903899045469	-0.324721731717922	-0.405937994810949	-0.0408114202942415	0.407152061104434	-4.12745882630941	3.95051595924308
AMNH267037	PRO	-1.3536236924226	1.45695543677928	-0.678900295952102	0.548489510998271	2.62120877585983	0.890531424207918	0.138367536142863	1.4092044664226	-0.314258221243737	4.21875057116646
AMNH267039	PRO	-2.27888204540747	0.291026350522932	-2.0953057410914	-1.06107243814503	-1.2845056972104	-0.0830295448537971	-1.60749897207336	0.135332238256113	-2.74295123509847	-2.30745148635325
AMNH267047	PRO	-1.25802157763046	1.01802723393817	-2.20351069566415	1.67441997255208	0.364018302582051	0.540403344272691	1.00334583954375	1.62655634538606	-4.50284553170834	5.3917644075798
AMNH267602	PRO	-1.95187035118323	0.0481719384611976	-1.46977757108229	-0.317811222298551	-1.30018217902287	1.37862916278107	-0.610072211316103	0.677731714926739	-4.23887662424916	4.24085080102886
AMNH268278	PRO	-2.02215081925869	-0.584365300990287	-1.56730445919743	1.02394703189803	0.433096965886436	0.20311288948341	0.441991866850103	0.348225830254283	-5.59929964475838	-5.99445699634137
AMNH268281	PRO	-1.14729660384907	-2.76577781614974	-1.44490745183463	-0.585707031944331	0.183691529104121	0.423326459508878	-0.00526758675142731	0.675426832911008	-2.20386385926954	1.67577181665942
